OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
1;3600012;6789324;Imatra;628;19810101;1981;1;1;3605000;6785000;-1.6;-0.7;-2.1;10.0;461.0;5.25;0.0;10.0
1;3600012;6789324;Imatra;628;19810102;1981;1;2;3605000;6785000;-7.7;-1.3;-11.7;0.0;553.0;3.18;0.0;10.0
1;3600012;6789324;Imatra;628;19810103;1981;1;3;3605000;6785000;-10.6;-7.8;-15.8;2.0;546.0;2.64;0.0;12.0
1;3600012;6789324;Imatra;628;19810104;1981;1;4;3605000;6785000;-10.7;-7.3;-14.0;0.0;667.0;2.51;0.0;12.0
1;3600012;6789324;Imatra;628;19810105;1981;1;5;3605000;6785000;-16.8;-13.1;-18.1;0.0;826.0;1.43;0.0;12.0
1;3600012;6789324;Imatra;628;19810106;1981;1;6;3605000;6785000;-22.6;-17.3;-25.4;0.0;901.0;0.81;0.0;12.0
1;3600012;6789324;Imatra;628;19810107;1981;1;7;3605000;6785000;-25.1;-22.1;-29.2;0.0;813.0;0.62;0.0;12.0
1;3600012;6789324;Imatra;628;19810108;1981;1;8;3605000;6785000;-12.9;-5.5;-27.5;1.0;661.0;2.62;0.0;13.0
1;3600012;6789324;Imatra;628;19810109;1981;1;9;3605000;6785000;-2.6;-1.0;-6.1;7.0;622.0;4.89;0.0;20.0
1;3600012;6789324;Imatra;628;19810110;1981;1;10;3605000;6785000;-1.4;0.1;-3.1;0.0;597.0;5.26;0.0;20.0
1;3600012;6789324;Imatra;628;19810111;1981;1;11;3605000;6785000;-7.0;-2.4;-11.8;0.0;986.0;3.32;0.0;20.0
1;3600012;6789324;Imatra;628;19810112;1981;1;12;3605000;6785000;-2.5;-0.8;-9.0;2.0;695.0;4.66;0.0;22.0
1;3600012;6789324;Imatra;628;19810113;1981;1;13;3605000;6785000;-4.5;-1.2;-6.4;2.0;686.0;3.94;0.0;24.0
1;3600012;6789324;Imatra;628;19810114;1981;1;14;3605000;6785000;-4.5;-2.6;-7.1;0.0;976.0;4.06;0.0;24.0
