OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Parkano;1060;19610101;1961;1;1;3275000;6885000;-4.8;-3.7;-5.4;2;425;-999
;;;Parkano;1060;19610102;1961;1;2;3275000;6885000;-3.6;-2.2;-5.9;2;445;4.48
;;;Parkano;1060;19610103;1961;1;3;3275000;6885000;-1.2;0.1;-2.6;0;447;5.5
;;;Parkano;1060;19610104;1961;1;4;3275000;6885000;-2.5;-1.4;-4;6;457;4.57
;;;Parkano;1060;19610105;1961;1;5;3275000;6885000;-0.5;1.5;-3.8;0;470;5.82
;;;Parkano;1060;19610106;1961;1;6;3275000;6885000;-2.1;0.1;-4.3;2;489;4.95
;;;Parkano;1060;19610107;1961;1;7;3275000;6885000;-1.8;-1.4;-4.2;7;500;5.13
;;;Parkano;1060;19610108;1961;1;8;3275000;6885000;-3.8;-1;-6.9;0;517;4.61
;;;Parkano;1060;19610109;1961;1;9;3275000;6885000;-6.8;-5.6;-9.4;0;671;3.16
;;;Parkano;1060;19610110;1961;1;10;3275000;6885000;-6.6;-5.9;-9.6;6;780;3.08
;;;Parkano;1060;19610111;1961;1;11;3275000;6885000;-3.1;0;-6.7;0;566;5.22
;;;Parkano;1060;19610112;1961;1;12;3275000;6885000;-7;-2.6;-15.8;0;592;3.22
;;;Parkano;1060;19610113;1961;1;13;3275000;6885000;-1.7;-0.4;-6.3;6;600;5.06
;;;Parkano;1060;19610114;1961;1;14;3275000;6885000;-2;-0.5;-4.7;0;944;4.77
;;;Parkano;1060;19610115;1961;1;15;3275000;6885000;-1.7;2;-5.7;0;878;5.39
;;;Parkano;1060;19610116;1961;1;16;3275000;6885000;-13.3;-0.4;-19;0;1119;1.93
;;;Parkano;1060;19610117;1961;1;17;3275000;6885000;-12.8;-10;-21.7;0;951;1.77
;;;Parkano;1060;19610118;1961;1;18;3275000;6885000;-3.1;-0.8;-10.3;0;702;4.74
;;;Parkano;1060;19610119;1961;1;19;3275000;6885000;-2.8;-1;-4;0;744;4.49
;;;Parkano;1060;19610120;1961;1;20;3275000;6885000;-5.5;-3.1;-7.9;0;783;3.82
;;;Parkano;1060;19610121;1961;1;21;3275000;6885000;-9.5;-6.6;-12.2;0;789;2.61
;;;Parkano;1060;19610122;1961;1;22;3275000;6885000;-9.7;-7.3;-14.1;0;1329;2.7
;;;Parkano;1060;19610123;1961;1;23;3275000;6885000;-9.9;-7.2;-15.2;0;919;2.89
;;;Parkano;1060;19610124;1961;1;24;3275000;6885000;-12;-7.9;-14.8;0;983;2.22
;;;Parkano;1060;19610125;1961;1;25;3275000;6885000;-11.8;-9.6;-18.5;0;1215;2.05
;;;Parkano;1060;19610126;1961;1;26;3275000;6885000;-5.9;-2.6;-11.1;0;1020;3.62
;;;Parkano;1060;19610127;1961;1;27;3275000;6885000;-3.8;-2.2;-7.8;0;939;4.15
;;;Parkano;1060;19610128;1961;1;28;3275000;6885000;-2.2;0.3;-5.2;0;955;4.67
;;;Parkano;1060;19610129;1961;1;29;3275000;6885000;-1.1;-0.3;-4.8;4;1005;5.57
;;;Parkano;1060;19610130;1961;1;30;3275000;6885000;0.1;1.6;-1.5;8;1030;6.27
;;;Parkano;1060;19610131;1961;1;31;3275000;6885000;-4.4;1.2;-7.2;0;1077;4.3
;;;Parkano;1060;19610201;1961;2;1;3275000;6885000;-5.5;-5.2;-6.9;1;1111;3.86
;;;Parkano;1060;19610202;1961;2;2;3275000;6885000;-2.6;-0.9;-6.2;3;1128;4.79
;;;Parkano;1060;19610203;1961;2;3;3275000;6885000;-0.9;0.1;-2.1;1;1124;5.54
;;;Parkano;1060;19610204;1961;2;4;3275000;6885000;-2.8;-0.3;-3.4;1;1216;4.98
;;;Parkano;1060;19610205;1961;2;5;3275000;6885000;-10.5;-2.8;-15.6;0;1896;2.72
;;;Parkano;1060;19610206;1961;2;6;3275000;6885000;-10.6;-5.2;-18;4;1275;2.38
;;;Parkano;1060;19610207;1961;2;7;3275000;6885000;-0.4;1.4;-5.6;1;1289;5.79
;;;Parkano;1060;19610208;1961;2;8;3275000;6885000;-3.2;1.6;-8.1;0;2133;4.42
;;;Parkano;1060;19610209;1961;2;9;3275000;6885000;-6.5;-3.9;-10.6;0;1412;3.44
;;;Parkano;1060;19610210;1961;2;10;3275000;6885000;-5.9;-4.9;-9.3;2;1574;3.64
;;;Parkano;1060;19610211;1961;2;11;3275000;6885000;-1.2;0.7;-8.3;0;1407;5.59
;;;Parkano;1060;19610212;1961;2;12;3275000;6885000;-1.9;0.7;-4.2;0;2927;5.25
;;;Parkano;1060;19610213;1961;2;13;3275000;6885000;-4.1;-1.2;-9.5;1;3427;3.85
;;;Parkano;1060;19610214;1961;2;14;3275000;6885000;0.4;1.4;-3.9;0;1513;6.1
;;;Parkano;1060;19610215;1961;2;15;3275000;6885000;-0.6;2.3;-4.4;0;3680;5.12
;;;Parkano;1060;19610216;1961;2;16;3275000;6885000;-0.3;4;-6.4;0;2495;5.32
;;;Parkano;1060;19610217;1961;2;17;3275000;6885000;1.7;4.8;-2;0;2532;6.05
;;;Parkano;1060;19610218;1961;2;18;3275000;6885000;1.8;5.9;-0.4;0;2745;6.44
;;;Parkano;1060;19610219;1961;2;19;3275000;6885000;-2.3;1.1;-4.6;0;3026;4.8
;;;Parkano;1060;19610220;1961;2;20;3275000;6885000;-0.8;3;-4.9;0;2087;5.56
;;;Parkano;1060;19610221;1961;2;21;3275000;6885000;0.7;4.7;-2.8;0;4035;5.43
;;;Parkano;1060;19610222;1961;2;22;3275000;6885000;-0.2;3.7;-3;0;4152;5.16
;;;Parkano;1060;19610223;1961;2;23;3275000;6885000;-1.1;4.1;-4.6;0;4613;5.29
;;;Parkano;1060;19610224;1961;2;24;3275000;6885000;-1.3;6.2;-7.9;0;5080;4.89
;;;Parkano;1060;19610225;1961;2;25;3275000;6885000;-1.6;0.2;-4.2;0;2046;5.2
;;;Parkano;1060;19610226;1961;2;26;3275000;6885000;0.3;2.1;-1.6;1;3173;5.8
;;;Parkano;1060;19610227;1961;2;27;3275000;6885000;1.4;2.7;-0.7;1;2254;6.65
;;;Parkano;1060;19610228;1961;2;28;3275000;6885000;1;4.4;-1.1;0;5448;5.79
;;;Parkano;1060;19610301;1961;3;1;3275000;6885000;-0.8;3.4;-4.5;0;4072;5.42
;;;Parkano;1060;19610302;1961;3;2;3275000;6885000;-0.8;1.1;-3.1;0;2558;5.33
